Venue	Date	Start	End	Title	Event	Tags	Event Type	Is On Sale	Is Sold Out	Description
Ingrams Yard	2026-07-24	19:00	20:00	Tom Ballard: BE FUNNY CHALLENGE (IMPOSSIBLE) (Work in Progress)	https://purchase.vfringe.co.uk/EventAvailability?EventId=46201		Comedy & Cabaret	true	false	MELBOURNE COMEDY FESTIVAL & EDINBURGH COMEDY AWARD NOMINEE As seen on Fisk and Deadloch. As heard on Radio 4 and The Bugle. After a year away from touring, doing nothing but being nice and uncontroversial, Australia's Special Envoy For Comedy Tom Ballard returns in 2026 with a new show packed with jokes about war and being naughty and being kind and just how extremely normal everything is right now. You should definitely come along. What's the worst that could happen???? "One of the slickest hours of stand-up I've ever seen." Adam Hills
St. Catherine's Church	2026-07-24	19:30	21:30	Everything's been returned that was owed: A journey into Bob Dylan's roots	https://purchase.vfringe.co.uk/EventAvailability?EventId=52401		Music	true	false	Bob Dylan has been accused of stealing other people’s songs and tunes since 1961. He wrote 'yes, I am a thief of thoughts not, I pray, a stealer of souls / I have built an' rebuilt upon what is waiting. IN this concert Hugh Wright, presenter of two sell-out Dylan Fringe Shows gets together with David Jowitt (aka Antidepressance) to present a new show delving into the folk tradition which Dylan mined for ‘Blowin’ in the Wind and ‘Hard Rain’. The second half will be more 'rocky' and include friends such as Dick Taylor ('Pretty Things') and others from his recent 'Wild Cathedral' show
Bosco Theatre	2026-07-24	19:30	20:30	Glenn Moore: Work In Progress	https://purchase.vfringe.co.uk/EventAvailability?EventId=51601		Comedy & Cabaret	true	false	Edinburgh Comedy Award Best Show nominee Glenn Moore (as seen on Live At The Apollo, Mock The Week, Have I Got News For You and Cats Does Countdown), one of the greatest joke writers of his generation, reads out a torrent of new, untested jokes from his notepads to see what works. Host of the hit comedy podcasts Budpod and Button Boys, and his own BBC Radio 4 series Glenn Moore's Almanac. ***** (Chortle.co.uk). ***** (Mail On Sunday).
Club Lunar	2026-07-24	20:00	00:00	Club Lunar	https://purchase.vfringe.co.uk/EventAvailability?EventId=38001		Music	true	false	Club Lunar is a Fringe institution in the making and the new beating heart of the festival. After a busy day watching shows make your way to Flowersbrook and discover secret circus, a cocktail bar, bands, DJs and a late-night cabaret every night. Each evening you'll find special guests headliners and an eclectic music policy spanning psych, reggae, swing, ska, jazz, African, Latin, calypso, rock-a-billy, and rock and roll, lovingly curated by the Ventnor Exchange team.
Bijou	2026-07-24	20:30	21:30	The Courtesan, the Prince, Three Lovers and a Poet	https://purchase.vfringe.co.uk/EventAvailability?EventId=55801		Spoken Word, Walks & Talks	true	false	A young woman in renaissance Venice makes a decision that echoes through the years. In Sheffield a young man receives news that will change the life of everyone he knows, and in a dark wood in Surrey a happily married couple find themselves in a very sticky situation. Tim Cooper, host of the Ventnor Exchange SpeakEasy and regular on the Solent spoken word scene, weaves from these stories a narrative about how we love and choose to be loved. Expect beautiful language, heartache and adult humour in a show you can still watch with the in-laws.
Ingrams Yard	2026-07-24	21:00	22:00	The Night Baker	https://purchase.vfringe.co.uk/EventAvailability?EventId=49802		Performing Arts	true	false	"Welcome to the night shift. First time? You’ll be fine. Trust me. It’s like…it’s exactly like jet lag.” Written and performed by Giles Cooper, ‘The Night Baker’ takes you to the heart of the overnight shift at a bakery, exploring the physical and mental demands on the solitary baker. Shaping and baking sourdoughs, pastries, baguettes and more whilst navigating through an orchestra of oven alarms and other distractions, under the constant gaze of the all powerful wall clock. Journey deep into the early hours and beyond as the night baker faces the crushing pressure of getting everything baked to perfection, whilst being haunted by his own demons and memories, as an unidentified noise keeps getting closer and louder in the darkness outside. Giles Cooper is an actor who recently moved to the Isle of Wight. His stage work includes productions at the National Theatre, Shakespeares Globe, Manchester’s Royal Exchange and London’s West End. On screen he has appeared in films such as Pride and The Lady in The Van. Upcoming work includes the film adaptation of Prima Facie. As a baker, Giles has worked at Kossoffs and E5 Bakehouse in London, and currently works as the Head Baker for The Lost Mill Bakery in Cowes.
Bosco Theatre	2026-07-24	21:30	00:30	Pick of the Fringe	https://purchase.vfringe.co.uk/EventAvailability?EventId=37002		Comedy & Cabaret	true	false	Returning for an unprecedented sixth year following completely sold out shows since 2021. Join us for a packed night of stand up comedy from a selection of some of the funniest acts at this year's Ventnor Fringe, curated and hosted by Edinburgh Comedy Award Winner and Ventnor Fringe favourite Ahir Shah (Live at the Apollo, Have I Got News For You, Mock The Week) Now featuring different line ups every evening so you can always expect something new, It's the perfect night out at the Fringe.
Ventnor Arts Club	2026-07-24	21:30	23:00	Tom Gamble	https://purchase.vfringe.co.uk/EventAvailability?EventId=43402		Music	true	false	Award-winning English guitarist Tom Gamble returns to the Isle of Wight for two special performances at the Ventnor Fringe Festival. Celebrating the release of his sixth solo album, “Six-String Vagabond”, join Tom at the Ventnor Arts Club for a genre-bending concert featuring original music, songs and virtuosic arrangements for guitar. Tom’s live performances have been praised for their “virtuosity, spontaneity and humour”. His recordings have been featured regularly on national radio, and his live tours have encompassed six continents and stages such as London’s Southbank Centre, Bridgewater
Bosco Theatre	2026-07-25	11:00	16:00	Family Fringe	https://purchase.vfringe.co.uk/EventAvailability?EventId=64001		Family Friendly	true	false	Family Fringe is back for a third year running, curated by our friends at New Carnival, who have been delivering vibrant, exciting and innovative creative projects for over a decade. This area is specially curated for families looking for something fun for children, especially those aged 5-12, with everything from games to graffiti, carnival crafts and circus skills. Activities available include: Games – Hula hoops, limbo, hoopla etc, Graffiti and drawing Small world area Crafting activities Musical instruments Dress Up Box Glitter tattoos Circus Skills Dance Carnival costume making and large costume walkabouts! Circus Workshops with Azaria 14:00–15:00 each day! Entry to the Family Fringe is £10 (Including booking fee) per day per child (adults go free) There are also some spectacular FREE outdoor circus, magic and puppet shows in the park on both weekends, as well as live music on the Bandstand making for a packed, full day out. Please note children must always be supervised by an adult. Sometimes a particular activity may be busy, if this happens we will operate on a first come first served basis/ one in, one out.
Ventnor Library	2026-07-25	11:00	12:00	Why is the Sea Salty?	https://purchase.vfringe.co.uk/EventAvailability?EventId=58202		Family Friendly	true	false	A fun and dramatic reading of myths and legends for children and adults with a small jar of Ventnor Sea Salt to take home.
Pier Street Playhouse	2026-07-25	12:30	13:30	Birds of a Feather	https://purchase.vfringe.co.uk/EventAvailability?EventId=51401		Spoken Word, Walks & Talks	true	false	As massive as an eagle, as tiny as a lark, as colourful as a kingfisher and as plain as a sparrow, feathery tales from the folklore of the land. Storyteller, Sue Bailey, tells stories which definitely wouldn’t share the same nest.
Ingrams Yard	2026-07-25	13:00	14:00	Claudwick	https://purchase.vfringe.co.uk/EventAvailability?EventId=49201		Performing Arts	true	false	Claudwick is young, wealthy and heir to a large fortune from a noble family. Being raised in some backwater town, he decides to leave his ivory tower and invest in a renovated warehouse loft in Peckham, looking for the exhilarating, gritty urban life. The life he finds though, is not the one he looks for. Fairly disappointed, he starts to educate his new friends and neighbors to make his world make sense again. A sharp, satirical, comedic theatre show on the choking reality of gentrification and the intellectual bewilderment of obscene wealth. Directed by award-winning director Katharina Boll.
Ventnor Exchange Arena	2026-07-25	13:00	14:00	Norvil & Josephine: Rabbits Out of the Hat	https://purchase.vfringe.co.uk/EventAvailability?EventId=37201		Performing Arts	true	false	After their 5-star studded season at Edinburgh Fringe, vaudevillian duo Norvil & Josephine present a magical extravaganza for all ages! Together they are a magician with a secret and an assistant with a mission in this whimsical comedy musical magic show, the likes of which the world has never seen. It's 1905 and life will never be the same again. It's time for the magician to chase new dreams while the assistant calls the shots. Expect breathtaking magic, sensational circus and showstopper songs as these Magic Circle magicians share a spectacularly silly and spellbinding story about being yourself no matter what. It's a heartwarming story within a whacky feel-good show. RABBITS OUT OF THE HAT appeals to both adult and family audiences in equal measure. The show has appeared in 85 theatre performances around the UK including 4 sold out seasons at The Well Walk Theatre in Hampstead and a run at The Pleasance King Dome at Edinburgh Festival Fringe.
The Fringe Village Box Office	2026-07-25	13:00	14:00	SILENT DISCO STRUT: A Wild Moving Disco Adventure Through Ventnor	https://purchase.vfringe.co.uk/EventAvailability?EventId=58201		Spoken Word, Walks & Talks	true	false	Silent Disco Strut. Wild, ridiculous and fun. A flamboyant, entertaining moving silent disco adventure through the fringe and Ventnor. It’s open to everyone! It’s open air and hysterical! Grab your headphones and hit the streets for a joy-fuelled, interactive silent disco like no other. Strut, dance and sing your way through Ventnor in a gloriously ridiculous roaming party led by a flamboyant host. Expect spontaneous dance-offs, shameless singalongs and plenty of playful mischief as you let go, unleash your inner child and become part of the spectacle."
Ventnor Arts Club	2026-07-25	13:45	14:45	The Railwayman and Other Stories	https://purchase.vfringe.co.uk/EventAvailability?EventId=44201		Music	true	false	Join violinist and harp player Charlie Wild for her debut multimedia show "The Railwayman and Other Stories". With a backdrop of vintage 70's film footage from the Isle of Wight Railway, Charlie will present a musical retelling of her father's true tales and memories from the time he worked as a railwayman on the Isle of Wight in the 1970s and 80s. With beautiful original music composed and performed for each story, she promises you a heartwarming afternoon of new music, old stories, nostalgia, and humour.
Ventnor Exchange	2026-07-25	14:00	15:00	A Walk Through The Solar System	https://purchase.vfringe.co.uk/EventAvailability?EventId=48801		Spoken Word, Walks & Talks	true	false	Join Stokey Woodall, known as the Star-man, on an incredible solar system walk. This unique experience follows a 1,000-yard model, where each inch represents 100,000 miles in space Meet very day at 1400 hours, at the in Ventnor Exchange for a friendly celestial introduction chat .The walk will then commence from a scaled model of the Sun, conveniently located just meters away from the Exchange, outside the Mushi restaurant. and conclude at the downgraded planet Pluto at Ventnor Park
Bosco Theatre	2026-07-25	14:00	15:30	The Queer Bash	https://purchase.vfringe.co.uk/EventAvailability?EventId=52601		Performing Arts	true	false	Performed originally for Isle of Wight Pride 2017 and UK Pride 2018, ‘The Queer Bash’ now returns for its third iteration. An original, devised play by Carl Burch for RedTIE Theatre. The Queer Bash is an in-depth exploration of the issues facing the LGBTQ+ community today and historical struggles that have never quite dwindled. It is also an unapologetic celebration of the LGBTQ+ community. A brutally honest and colourful emotional rollercoaster that is as funny as it is poignant.
The Fringe Village Box Office	2026-07-25	15:00	16:00	SILENT DISCO STRUT: A Wild Moving Disco Adventure Through Ventnor	https://purchase.vfringe.co.uk/EventAvailability?EventId=58201		Spoken Word, Walks & Talks	true	false	Silent Disco Strut. Wild, ridiculous and fun. A flamboyant, entertaining moving silent disco adventure through the fringe and Ventnor. It’s open to everyone! It’s open air and hysterical! Grab your headphones and hit the streets for a joy-fuelled, interactive silent disco like no other. Strut, dance and sing your way through Ventnor in a gloriously ridiculous roaming party led by a flamboyant host. Expect spontaneous dance-offs, shameless singalongs and plenty of playful mischief as you let go, unleash your inner child and become part of the spectacle."
Ingrams Yard	2026-07-25	15:00	16:00	The Magic Juke Box	https://purchase.vfringe.co.uk/EventAvailability?EventId=41001		Performing Arts	true	false	🎵 Press play… and let the magic begin! Step back in time for the ultimate feel-good magic show! Join magician Ian Vallance as he spins the jukebox back to the 70s and 80s, when he was a Butlins DJ and the dancefloor was always full. Now he brings those memories to life in a show where music and magic meet. From disco classics to pop anthems, every track sparks astonishing magic and illusion. Packed with nostalgia, laughter and surprises, The Magic Juke Box will leave you smiling all the way home.
Bijou	2026-07-25	15:30	16:30	Confused Chronicles of Aleppo	https://purchase.vfringe.co.uk/EventAvailability?EventId=54801		Performing Arts	true	false	“A stunning piece of writing” – Reviewers Hub. An unusual love story during the Syrian civil war at beat rhythm. Gerard and Becky, two established photographers, travel in Turkey and Syria, crossing dramatic events such as the siege of Kobane and the battle of Aleppo. The most dramatic conflict of the third millennia read at beat rhythm through the eyes of two young adults ready to live and die for what they believe in. Confused Chronicles of Aleppo is a mixed reading / music performance.
Ventnor Exchange Arena	2026-07-25	15:30	16:30	Impromptu Shakespeare	https://purchase.vfringe.co.uk/EventAvailability?EventId=201		Performing Arts	true	false	Hold onto your doublets, ruffs and trunk hose. The Bard is back! With story and verse improvised in the moment, enjoy a riotous new Shakespeare play every time – performed by Impromptu Shakespeare’s whip smart cast. Packed with priceless wit, lyrical smarts, romance, and a dash of double-crossing, this leading ensemble do the Bard proud with a brand new hit every time, inspired by audience suggestions. Returning for their seventh year at Ventnor Fringe, Impromptu Shakespeare have been a smash hit at the Edinburgh Fringe and Bristol Shakespeare Festival, and have appeared on BBC Shakespeare Live. WINNER: Best Comedy Event, Buxton Fringe 2021 “Shakespeare from the hip. Ingenious and very funny” – Will Gompertz, BBC Arts Editor “Simply sublime, side-splittingly hilarious improvised comedy almost worthy of the Bard himself” ★★★★★ Broadway Baby “Go and see this show. It’s intelligent, it’s funny, it’s all of the adjectives for brilliant. I’m still not sure how they did what they did” ★★★★★ Pocket Size Theatre “I would see it every night if I could” Voice Magazine “Anarchic and high-energy… Laughs galore” ★★★★★ The Reviews Hub “It will leave you hungry for more… See it as often as you can” Arts York “A joy… seemingly channelled from the playwright himself” ★★★★ North West End UK
Pier Street Playhouse	2026-07-25	15:30	16:30	Lovestruck Alley	https://purchase.vfringe.co.uk/EventAvailability?EventId=58601		Performing Arts	true	false	Lovestruck Alley is an all-original musical, completely written, composed and produced by the young people of Carisbrooke Cast. Step back into the 1980's as we join our cast of misfits and slackers hiding behind the backdrop of a run-down bowling alley. Alli and Tash were settled into a life of mediocrity until the flamboyant Striker walks in and changes Alli’s life forever. Set to the soundtrack of new wave electro-pop, Lovestruck Alley explores the dynamics of friendship, loyalties, love and betrayal in the vein of classic eighties teen angst films like Say Anything and Sixteen Candles.
Bosco Theatre	2026-07-25	17:00	18:00	Do All The Things	https://purchase.vfringe.co.uk/EventAvailability?EventId=46401		Comedy & Cabaret	true	false	From the award-winning idiots behind Game of Crones, Enter The Dragons and Witch Hunt, A&E Comedy bring you, Do All The Things. With a playful interactive twist this isn’t just a show, it’s an invitation to get involved, dose up on dopamine and soak up the serotonin. Part cabaret, part game show, part house party, Do All The Things is a celebration of commonality, an ode to the absurd, and, at its heart, a joyous middle finger to despair and disconnection. With big prizes.
Ingrams Yard	2026-07-25	17:00	18:00	Garrett Millerick: We Tried it Your Way	https://purchase.vfringe.co.uk/EventAvailability?EventId=57201		Comedy & Cabaret	true	false	Creator of BBC Radio 4’s hit new sitcom Do Gooders returns with a unique live comedy experiment… Garrett’s built an AI of himself to see if it’s better at comedy than him. Maybe he can finally retire? Join Garrett and Garrett for a blistering hour of the no-holds-barred iconoclastic stand-up that has made him one of the stand out acts of his generation. 'A masterclass' ★★★★ Telegraph 'Wonderfully funny' ★★★★ Times 'Has the room erupting with laughter. Cathartic. Clever. Funny' ★★★★ Scotsman 'Devastatingly funny' ★★★★★ Chortle
Ventnor Exchange Arena	2026-07-25	18:00	19:00	Drunk Women Solving Crime	https://purchase.vfringe.co.uk/EventAvailability?EventId=1001		Comedy & Cabaret	true	false	After four sell out years at V-Fringe, Ventnor's very own Hannah George is bringing her award-winning true crime comedy podcast to The Arena! With millions of downloads and listeners all over the world, Drunk Women Solving Crime is one of the top podcasts in the UK. Hannah, along with her co-detective Taylor Glenn, will 'solve' an Isle of Wight based true crime - so get your detective hat on and come and join us!
Bijou	2026-07-25	18:15	19:15	The Fabled Isle	https://purchase.vfringe.co.uk/EventAvailability?EventId=38601		Spoken Word, Walks & Talks	true	false	Discover the Isle of Wight’s strange history through its stories, where fact and folklore weave seamlessly together. With an array of characters featuring sly smugglers, heroic hermits and raging river spirits, each tale holds at least a touch of truth - though exactly how much is for you to decide. Following sell-out shows in 2024 and 2025, Holly Medland returns to Ventnor Fringe with an enchanting retelling of the traditional stories that have shaped the Island and its people.
Pier Street Playhouse	2026-07-25	18:30	19:30	The Quest of Ebondale	https://purchase.vfringe.co.uk/EventAvailability?EventId=49601		Performing Arts	true	false	The Quest of Ebondale is a tale of friendship, magic, and adventure. Join Artie and Hester as they escape their lonely existence in the real world to embark on a quest for the fairy queen's wand, in the magical kingdom of Ebondale. With their trusty guide on hand, the two evacuees venture into Ebondale’s Darkest Forest, meeting fairies, warlocks and other magical characters on the way. As all good quests do, they face challenges, riddles and dilemmas a plenty! Will they complete their quest and return the magic wand back to its rightful owner? A musical adventure for all ages!
Ingrams Yard	2026-07-25	19:00	19:00	Lou Wall: Where Are All The Tall Grandmas (Work in Progress)	https://purchase.vfringe.co.uk/EventAvailability?EventId=46002		Comedy & Cabaret	true	false	Lou Wall is a multi-award-winning comedian, composer and content creator known for their genre-defying, politically savvy, and musically driven comedy. In 2023, Lou won the prestigious Moosehead Award and premiered Lou Wall vs The Internet at Melbourne Fringe and Edinburgh—going on to win Best of the Festival at the 2024 Sydney Comedy Festival and earning a nomination for Most Outstanding Show at the 2024 Melbourne Comedy Festival for their show "The Bisexual's Lament". In 2025, Breaking the Fifth Wall opened to critical acclaim with a Melbourne Comedy Festival Award nomination.
Ventnor Arts Club	2026-07-25	19:00	20:00	Who are they?	https://purchase.vfringe.co.uk/EventAvailability?EventId=43401		Comedy & Cabaret	true	false	After having such a hoot at last year’s festival, Jack Campbell returns with a new show. Stemming from a flippant comment whilst watching local news on a Christmas visit back home a few years ago, Jack has had an idea for this show for 15 years. “Who are they?” is a historical, geographical, interactive and most importantly a pro-migration show in a day and age of increasing right-wing anti-immigration sentiment.
St. Catherine's Church	2026-07-25	19:30	20:45	Between the Lines: A Piano Recital by Francis Griffiths	https://purchase.vfringe.co.uk/EventAvailability?EventId=53401		Music	true	false	In this light and hopefully humorous piano recital, I will attempt to explore the evolution of music as it shifts from the expressive Romantic style of Chopin, through the impressionistic colours of Debussy and Satie, to the rhythmic freedom and improvisation of jazz. It will highlight how each era influenced the next, blurring the boundaries between classical tradition and modern musical expression.
Bosco Theatre	2026-07-25	19:30	20:30	The Mind Reader Live	https://purchase.vfringe.co.uk/EventAvailability?EventId=4401		Performing Arts	true	false	Featuring one of the UK’s top hypnotists and renowned mind readers… Prepare for an evening of amazement and laughter as one of the UK’s top hypnotists and renowned mind-readers brings you an unmissable show in one incredible night. With multiple five star reviews, Daniel Sinclair has been described as “The next Derren Brown” (Phoenix Arts). “Blew me away” (Jimmy Carr). A master of combining suspense with comedy, music and truly jaw-dropping moments, Daniel’s shows will take you on a rollercoaster ride of your minds, leaving you laughing out loud while questioning your own realities. Show Trailer: https://youtu.be/q4ggW0V0Rpk A mind reading and mentalism show that will leave you on the edge of your seats. Expect West End quality entertainment, Derren Brown-style mind games and all-round psychological wonder as Daniel reads volunteers’ minds and makes astonishing predictions live on stage. About Daniel Daniel Sinclair is one of the UK’s leading comedy stage hypnotists, a renowned mind-reader and mentalist. He has been described as ‘the most impressive’ in his industry with performances spanning the globe from the West End to large theatres, festivals, TV and viral podcasts. Daniel has a knack for leaving crowds gobsmacked wherever he goes and has in recent years read the minds and hypnotised thousands of people.
Club Lunar	2026-07-25	20:00	00:00	Club Lunar	https://purchase.vfringe.co.uk/EventAvailability?EventId=38001		Music	true	false	Club Lunar is a Fringe institution in the making and the new beating heart of the festival. After a busy day watching shows make your way to Flowersbrook and discover secret circus, a cocktail bar, bands, DJs and a late-night cabaret every night. Each evening you'll find special guests headliners and an eclectic music policy spanning psych, reggae, swing, ska, jazz, African, Latin, calypso, rock-a-billy, and rock and roll, lovingly curated by the Ventnor Exchange team.
Bijou	2026-07-25	20:30	21:30	Rhymes Against Humanity	https://purchase.vfringe.co.uk/EventAvailability?EventId=39401		Spoken Word, Walks & Talks	true	false	Poetry and Spoken Word - but not as you know it. Ade Smith is a comedy performance poet. With his book (I Don't Ask For Much) already on the shelf and his second coming soon. Serving up his unique blend of honest, observational and comedy poetry, Ade shares his thoughts through the beauty of rhyme - on all the important issues in his life and yours! All he needs is a room full of people and a microphone. He doesn't ask for much!
Ingrams Yard	2026-07-25	21:00	22:00	The Night Baker	https://purchase.vfringe.co.uk/EventAvailability?EventId=49802		Performing Arts	true	false	"Welcome to the night shift. First time? You’ll be fine. Trust me. It’s like…it’s exactly like jet lag.” Written and performed by Giles Cooper, ‘The Night Baker’ takes you to the heart of the overnight shift at a bakery, exploring the physical and mental demands on the solitary baker. Shaping and baking sourdoughs, pastries, baguettes and more whilst navigating through an orchestra of oven alarms and other distractions, under the constant gaze of the all powerful wall clock. Journey deep into the early hours and beyond as the night baker faces the crushing pressure of getting everything baked to perfection, whilst being haunted by his own demons and memories, as an unidentified noise keeps getting closer and louder in the darkness outside. Giles Cooper is an actor who recently moved to the Isle of Wight. His stage work includes productions at the National Theatre, Shakespeares Globe, Manchester’s Royal Exchange and London’s West End. On screen he has appeared in films such as Pride and The Lady in The Van. Upcoming work includes the film adaptation of Prima Facie. As a baker, Giles has worked at Kossoffs and E5 Bakehouse in London, and currently works as the Head Baker for The Lost Mill Bakery in Cowes.
Bosco Theatre	2026-07-25	21:30	00:30	Pick of the Fringe	https://purchase.vfringe.co.uk/EventAvailability?EventId=37002		Comedy & Cabaret	true	false	Returning for an unprecedented sixth year following completely sold out shows since 2021. Join us for a packed night of stand up comedy from a selection of some of the funniest acts at this year's Ventnor Fringe, curated and hosted by Edinburgh Comedy Award Winner and Ventnor Fringe favourite Ahir Shah (Live at the Apollo, Have I Got News For You, Mock The Week) Now featuring different line ups every evening so you can always expect something new, It's the perfect night out at the Fringe.
Ventnor Arts Club	2026-07-25	21:30	22:30	Vibrate	https://purchase.vfringe.co.uk/EventAvailability?EventId=8001		Performing Arts	true	false	Everything you didn’t realise there was to know about vibrators, their history, and development told through story and song.
Bosco Theatre	2026-07-26	11:00	16:00	Family Fringe	https://purchase.vfringe.co.uk/EventAvailability?EventId=64001		Family Friendly	true	false	Family Fringe is back for a third year running, curated by our friends at New Carnival, who have been delivering vibrant, exciting and innovative creative projects for over a decade. This area is specially curated for families looking for something fun for children, especially those aged 5-12, with everything from games to graffiti, carnival crafts and circus skills. Activities available include: Games – Hula hoops, limbo, hoopla etc, Graffiti and drawing Small world area Crafting activities Musical instruments Dress Up Box Glitter tattoos Circus Skills Dance Carnival costume making and large costume walkabouts! Circus Workshops with Azaria 14:00–15:00 each day! Entry to the Family Fringe is £10 (Including booking fee) per day per child (adults go free) There are also some spectacular FREE outdoor circus, magic and puppet shows in the park on both weekends, as well as live music on the Bandstand making for a packed, full day out. Please note children must always be supervised by an adult. Sometimes a particular activity may be busy, if this happens we will operate on a first come first served basis/ one in, one out.
Ingrams Yard	2026-07-26	13:00	14:00	Claudwick	https://purchase.vfringe.co.uk/EventAvailability?EventId=49201		Performing Arts	true	false	Claudwick is young, wealthy and heir to a large fortune from a noble family. Being raised in some backwater town, he decides to leave his ivory tower and invest in a renovated warehouse loft in Peckham, looking for the exhilarating, gritty urban life. The life he finds though, is not the one he looks for. Fairly disappointed, he starts to educate his new friends and neighbors to make his world make sense again. A sharp, satirical, comedic theatre show on the choking reality of gentrification and the intellectual bewilderment of obscene wealth. Directed by award-winning director Katharina Boll.
The Fringe Village Box Office	2026-07-26	13:00	14:00	SILENT DISCO STRUT: A Wild Moving Disco Adventure Through Ventnor	https://purchase.vfringe.co.uk/EventAvailability?EventId=58201		Spoken Word, Walks & Talks	true	false	Silent Disco Strut. Wild, ridiculous and fun. A flamboyant, entertaining moving silent disco adventure through the fringe and Ventnor. It’s open to everyone! It’s open air and hysterical! Grab your headphones and hit the streets for a joy-fuelled, interactive silent disco like no other. Strut, dance and sing your way through Ventnor in a gloriously ridiculous roaming party led by a flamboyant host. Expect spontaneous dance-offs, shameless singalongs and plenty of playful mischief as you let go, unleash your inner child and become part of the spectacle."
Ventnor Arts Club	2026-07-26	13:45	14:45	The Railwayman and Other Stories	https://purchase.vfringe.co.uk/EventAvailability?EventId=44201		Music	true	false	Join violinist and harp player Charlie Wild for her debut multimedia show "The Railwayman and Other Stories". With a backdrop of vintage 70's film footage from the Isle of Wight Railway, Charlie will present a musical retelling of her father's true tales and memories from the time he worked as a railwayman on the Isle of Wight in the 1970s and 80s. With beautiful original music composed and performed for each story, she promises you a heartwarming afternoon of new music, old stories, nostalgia, and humour.
Ventnor Exchange	2026-07-26	14:00	15:00	A Walk Through The Solar System	https://purchase.vfringe.co.uk/EventAvailability?EventId=48801		Spoken Word, Walks & Talks	true	false	Join Stokey Woodall, known as the Star-man, on an incredible solar system walk. This unique experience follows a 1,000-yard model, where each inch represents 100,000 miles in space Meet very day at 1400 hours, at the in Ventnor Exchange for a friendly celestial introduction chat .The walk will then commence from a scaled model of the Sun, conveniently located just meters away from the Exchange, outside the Mushi restaurant. and conclude at the downgraded planet Pluto at Ventnor Park
Club Lunar	2026-07-26	15:00	17:00	Aspire Creative Hub Presents...	https://purchase.vfringe.co.uk/EventAvailability?EventId=61601		Music	true	false	Aspire Creative Hub Presents... Acts from our Community Music Facilities. Freestyle Rap, Rock and Pop Youth Bands, and Loads of Fabulous Live Music from our Community Groups. Come and see what The Aspire Creative Hub is all about! Based in Ryde, and now expanding to town and venues across the Island, we provide accessible music workshops and live performance opportunities for everyone, from Youth Music Clubs, for young people aged from 8 years old and up, to our Re:Connect band formed to reconnect older Musicians and those living with Dementia with their love of music... Adult Music Groups supporting mental health through creativity to our Community Choir Group. This is our 7th year at Ventnor Fringe and we are looking forward to showcasing an exciting range of musical acts that use our facilities.
The Fringe Village Box Office	2026-07-26	15:00	16:00	SILENT DISCO STRUT: A Wild Moving Disco Adventure Through Ventnor	https://purchase.vfringe.co.uk/EventAvailability?EventId=58201		Spoken Word, Walks & Talks	true	false	Silent Disco Strut. Wild, ridiculous and fun. A flamboyant, entertaining moving silent disco adventure through the fringe and Ventnor. It’s open to everyone! It’s open air and hysterical! Grab your headphones and hit the streets for a joy-fuelled, interactive silent disco like no other. Strut, dance and sing your way through Ventnor in a gloriously ridiculous roaming party led by a flamboyant host. Expect spontaneous dance-offs, shameless singalongs and plenty of playful mischief as you let go, unleash your inner child and become part of the spectacle."
Ingrams Yard	2026-07-26	15:00	16:00	The Magic Juke Box	https://purchase.vfringe.co.uk/EventAvailability?EventId=41001		Performing Arts	true	false	🎵 Press play… and let the magic begin! Step back in time for the ultimate feel-good magic show! Join magician Ian Vallance as he spins the jukebox back to the 70s and 80s, when he was a Butlins DJ and the dancefloor was always full. Now he brings those memories to life in a show where music and magic meet. From disco classics to pop anthems, every track sparks astonishing magic and illusion. Packed with nostalgia, laughter and surprises, The Magic Juke Box will leave you smiling all the way home.
Bijou	2026-07-26	15:30	16:30	Confused Chronicles of Aleppo	https://purchase.vfringe.co.uk/EventAvailability?EventId=54801		Performing Arts	true	false	“A stunning piece of writing” – Reviewers Hub. An unusual love story during the Syrian civil war at beat rhythm. Gerard and Becky, two established photographers, travel in Turkey and Syria, crossing dramatic events such as the siege of Kobane and the battle of Aleppo. The most dramatic conflict of the third millennia read at beat rhythm through the eyes of two young adults ready to live and die for what they believe in. Confused Chronicles of Aleppo is a mixed reading / music performance.
Bosco Theatre	2026-07-26	17:00	18:00	Do All The Things	https://purchase.vfringe.co.uk/EventAvailability?EventId=46401		Comedy & Cabaret	true	false	From the award-winning idiots behind Game of Crones, Enter The Dragons and Witch Hunt, A&E Comedy bring you, Do All The Things. With a playful interactive twist this isn’t just a show, it’s an invitation to get involved, dose up on dopamine and soak up the serotonin. Part cabaret, part game show, part house party, Do All The Things is a celebration of commonality, an ode to the absurd, and, at its heart, a joyous middle finger to despair and disconnection. With big prizes.
Ingrams Yard	2026-07-26	17:00	18:00	Thor Stenhaug (Work in Progress)	https://purchase.vfringe.co.uk/EventAvailability?EventId=46001		Comedy & Cabaret	true	false	Channel 4 Sean Lock Award Finalist Thor Stenhaug is a Norwegian comedian based in London. He had a completely sold-out run at the Edinburgh Fringe 2025 with his debut show "One Night Stand Baby". Thor has headlined top comedy clubs across the country, and recently completed a run at Soho Theatre, London. Thor has offered tour support for Vittorio Angelone, Fern Brady, Josh Widdecombe, Larry Dean and Jack Dee, and was shortlisted for British Comedian of the Year - despite not being British (wonder what happened there.) ★★★★ The Telegraph ★★★★ The Scotsman
